Date,Open,High,Low,Close,Negativity,Positivity
06/08/2021,100.1,100.1,100.1,100.1,11.8,11.2
06/09/2021,98.5,98.5,98.5,98.5,13.3,14.2
06/10/2021,98.1,98.1,98.0,98.1,13.7,16.3
06/11/2021,97.8,97.8,97.7,97.8,11.2,15.3
06/14/2021,97.0,97.0,97.0,97.0,10.5,10.4
06/15/2021,98.6,98.6,98.6,98.6,9.8,17.1
06/16/2021,100.1,100.1,100.1,100.1,12.9,14.6
06/17/2021,100.3,100.4,100.3,100.3,13.0,15.0
06/18/2021,99.7,99.8,99.7,99.7,9.0,13.4
06/21/2021,98.4,98.4,98.3,98.4,7.2,8.6
06/22/2021,99.4,99.4,99.3,99.4,11.1,9.7
06/23/2021,100.5,100.5,100.5,100.5,12.9,15.1
06/24/2021,98.1,98.2,98.1,98.1,17.1,13.7
06/25/2021,96.5,96.5,96.5,96.5,10.6,64.1
06/28/2021,76.9,76.9,76.9,76.9,9.7,10.3
06/29/2021,74.9,74.9,74.9,74.9,11.2,12.5
06/30/2021,76.6,76.6,76.6,76.6,9.7,11.0
07/01/2021,76.6,76.6,76.6,76.6,10.9,14.2
07/02/2021,78.2,78.2,78.1,78.2,11.2,15.2
07/06/2021,78.1,78.1,78.1,78.1,9.8,9.8
07/07/2021,75.3,75.3,75.3,75.3,11.3,13.3
07/08/2021,71.7,71.8,71.7,71.7,13.7,12.4
07/09/2021,77.2,77.3,77.2,77.2,11.4,15.1
07/12/2021,78.1,78.1,78.1,78.1,12.7,12.1
07/13/2021,79.7,79.7,79.7,79.7,11.7,13.4
07/14/2021,80.1,80.1,80.1,80.1,10.8,11.8
07/15/2021,75.6,75.6,75.6,75.6,12.4,12.5
07/16/2021,74.1,74.1,74.1,74.1,11.8,15.9
07/19/2021,76.0,76.0,75.9,76.0,9.7,10.1
07/20/2021,74.4,74.4,74.4,74.4,12.1,14.4
07/21/2021,78.3,78.3,78.3,78.3,12.0,12.3
07/22/2021,76.9,76.9,76.8,76.9,13.9,15.1
07/23/2021,71.9,71.9,71.9,71.9,12.6,14.2
07/26/2021,91.5,91.5,91.5,91.5,7.8,12.1
07/27/2021,91.8,91.8,91.8,91.8,11.7,15.4
07/28/2021,84.3,84.3,84.3,84.3,11.3,17.0
07/29/2021,87.7,87.7,87.7,87.7,13.9,20.8
07/30/2021,88.0,88.0,87.9,88.0,12.5,14.5
08/02/2021,91.6,91.6,91.6,91.6,11.4,10.8
08/03/2021,94.9,94.9,94.9,94.9,16.1,17.1
08/04/2021,81.0,81.0,80.9,81.0,13.5,15.5
08/05/2021,79.7,79.7,79.6,79.7,14.7,15.3
08/06/2021,90.7,90.7,90.7,90.7,14.0,19.6
08/09/2021,84.7,84.7,84.6,84.7,9.8,9.9
08/10/2021,92.9,92.9,92.9,92.9,12.5,13.8
08/11/2021,90.2,90.2,90.2,90.2,10.7,12.4
08/12/2021,86.2,86.3,86.2,86.2,12.2,15.2
08/13/2021,85.3,85.3,85.3,85.3,11.4,13.3
08/16/2021,83.9,83.9,83.9,83.9,8.8,7.8
08/17/2021,84.0,84.1,84.0,84.0,9.5,11.1
08/18/2021,84.5,84.5,84.5,84.5,11.3,11.6
08/19/2021,92.4,92.4,92.4,92.4,10.4,12.5
08/20/2021,86.5,86.5,86.5,86.5,10.0,14.5
08/23/2021,86.9,86.9,86.9,86.9,8.3,10.0
08/24/2021,85.5,85.5,85.5,85.5,12.9,12.1
08/25/2021,102.3,102.3,102.2,102.3,11.0,9.8
08/26/2021,99.7,99.7,99.7,99.7,11.9,9.7
08/27/2021,98.9,98.9,98.9,98.9,16.6,16.3
08/30/2021,101.3,101.3,101.2,101.3,10.7,10.1
08/31/2021,105.4,105.4,105.4,105.4,12.2,11.6
09/01/2021,105.2,105.2,105.2,105.2,10.8,11.1
09/02/2021,103.6,103.6,103.6,103.6,12.2,15.3
09/03/2021,105.3,105.3,105.2,105.3,12.8,13.6
09/07/2021,106.3,106.3,106.3,106.3,9.7,11.2
09/08/2021,106.4,106.4,106.3,106.4,14.6,14.5
09/09/2021,104.2,104.3,104.2,104.2,12.3,15.4
09/10/2021,105.8,105.8,105.8,105.8,16.1,14.1
